DOI,  "DOI_Stub"
10.1002/anie.201408464, 10.1002anie.201408464
10.1002/anie.201409334, 10.1002anie.201409334
10.1002/anie.201501718, 10.1002anie.201501718
10.1002/anie.201502094, 10.1002anie.201502094
10.1002/anie.201504346, 10.1002anie.201504346
10.1002/anie.201504572, 10.1002anie.201504572
10.1002/anie.201504873, 10.1002anie.201504873
10.1002/anie.201506345, 10.1002anie.201506345
10.1002/anie.201506391, 10.1002anie.201506391
10.1002/anie.201506888, 10.1002anie.201506888
10.1002/anie.201507058, 10.1002anie.201507058
10.1002/anie.201607745, 10.1002anie.201607745
10.1002/anie.201712246, 10.1002anie.201712246
10.1002/anie.201905591, 10.1002anie.201905591
10.1002/anie.202005277, 10.1002anie.202005277
10.1002/anie.202007230, 10.1002anie.202007230
10.1002/anie.202010398, 10.1002anie.202010398
10.1002/anie.202013926, 10.1002anie.202013926
10.1002/aoc.3430, 10.1002aoc.3430
10.1002/aoc.3843, 10.1002aoc.3843
10.1002/aoc.3860, 10.1002aoc.3860
10.1002/apj.2072, 10.1002apj.2072
10.1002/App.41633, 10.1002app.41633
10.1002/app.42764, 10.1002app.42764
10.1002/asia.200600317, 10.1002asia.200600317
10.1002/asia.200600404, 10.1002asia.200600404
10.1002/asia.200700209, 10.1002asia.200700209
10.1002/asia.200800112, 10.1002asia.200800112
10.1002/asia.200900020, 10.1002asia.200900020
10.1002/asia.201200601, 10.1002asia.201200601
10.1002/asia.201300615, 10.1002asia.201300615
10.1002/asia.201403123, 10.1002asia.201403123
10.1002/asia.201500234, 10.1002asia.201500234
10.1002/asia.201500509, 10.1002asia.201500509
10.1002/bbpc.19920960105, 10.1002bbpc.19920960105
10.1002/bkcs.10087, 10.1002bkcs.10087
10.1002/btpr.2474, 10.1002btpr.2474
10.1002/cctc.201400056, 10.1002cctc.201400056
10.1002/cctc.201402927, 10.1002cctc.201402927
10.1002/cctc.201600840, 10.1002cctc.201600840
10.1002/cctc.201601355, 10.1002cctc.201601355
10.1002/cctc.201700169, 10.1002cctc.201700169
10.1002/ceat.200500384, 10.1002ceat.200500384
10.1002/ceat.201100626, 10.1002ceat.201100626
10.1002/ceat.201300046, 10.1002ceat.201300046
10.1002/ceat.201400741, 10.1002ceat.201400741
10.1002/ceat.270130103, 10.1002ceat.270130103
10.1002/ceat.270170507, 10.1002ceat.270170507
10.1002/chem.200500963, 10.1002chem.200500963
10.1002/chem.200601534, 10.1002chem.200601534
10.1002/chem.200701447, 10.1002chem.200701447
10.1002/chem.200701813, 10.1002chem.200701813
10.1002/chem.200801048, 10.1002chem.200801048
10.1002/chem.200801064, 10.1002chem.200801064
10.1002/chem.200802292, 10.1002chem.200802292
10.1002/chem.200802672, 10.1002chem.200802672
10.1002/chem.200802730, 10.1002chem.200802730
10.1002/chem.200901707, 10.1002chem.200901707
10.1002/chem.200901929, 10.1002chem.200901929
10.1002/chem.200902036, 10.1002chem.200902036
10.1002/chem.200902104, 10.1002chem.200902104
10.1002/chem.200902144, 10.1002chem.200902144
10.1002/chem.200902158, 10.1002chem.200902158
10.1002/chem.200902346, 10.1002chem.200902346
10.1002/chem.200902719, 10.1002chem.200902719
10.1002/chem.201000053, 10.1002chem.201000053
10.1002/chem.201001549, 10.1002chem.201001549
10.1002/chem.201001700, 10.1002chem.201001700
10.1002/chem.201002135, 10.1002chem.201002135
10.1002/chem.201002341, 10.1002chem.201002341
10.1002/chem.201002683, 10.1002chem.201002683
10.1002/chem.201002818, 10.1002chem.201002818
10.1002/chem.201003376, 10.1002chem.201003376
10.1002/chem.201003596, 10.1002chem.201003596
10.1002/chem.201100176, 10.1002chem.201100176
10.1002/chem.201100350, 10.1002chem.201100350
10.1002/chem.201100642, 10.1002chem.201100642
10.1002/chem.201100958, 10.1002chem.201100958
10.1002/chem.201101015, 10.1002chem.201101015
10.1002/chem.201101183, 10.1002chem.201101183
10.1002/chem.201101383, 10.1002chem.201101383
10.1002/chem.201101705, 10.1002chem.201101705
10.1002/chem.201101733, 10.1002chem.201101733
10.1002/chem.201102734, 10.1002chem.201102734
10.1002/chem.201103078, 10.1002chem.201103078
10.1002/chem.201103308, 10.1002chem.201103308
10.1002/chem.201103687, 10.1002chem.201103687
10.1002/chem.201103688, 10.1002chem.201103688
10.1002/chem.201103927, 10.1002chem.201103927
10.1002/chem.201200456, 10.1002chem.201200456
10.1002/chem.201200696, 10.1002chem.201200696
10.1002/chem.201201340, 10.1002chem.201201340
10.1002/chem.201201574, 10.1002chem.201201574
10.1002/chem.201202352, 10.1002chem.201202352
10.1002/chem.201203093, 10.1002chem.201203093
10.1002/chem.201203297, 10.1002chem.201203297
10.1002/chem.201203487, 10.1002chem.201203487
10.1002/chem.201203515, 10.1002chem.201203515
10.1002/chem.201203753, 10.1002chem.201203753
10.1002/chem.201204458, 10.1002chem.201204458
10.1002/chem.201300326, 10.1002chem.201300326
10.1002/chem.201300477, 10.1002chem.201300477
10.1002/chem.201301212, 10.1002chem.201301212
10.1002/chem.201301461, 10.1002chem.201301461
10.1002/chem.201301728, 10.1002chem.201301728
10.1002/chem.201301806, 10.1002chem.201301806
10.1002/chem.201302084, 10.1002chem.201302084
10.1002/chem.201303086, 10.1002chem.201303086
10.1002/chem.201303615, 10.1002chem.201303615
10.1002/chem.201402244, 10.1002chem.201402244
10.1002/chem.201402287, 10.1002chem.201402287
10.1002/chem.201402923, 10.1002chem.201402923
10.1002/chem.201403241, 10.1002chem.201403241
10.1002/chem.201403501, 10.1002chem.201403501
10.1002/chem.201403542, 10.1002chem.201403542
10.1002/chem.201404104, 10.1002chem.201404104
10.1002/chem.201404377, 10.1002chem.201404377
10.1002/chem.201405168, 10.1002chem.201405168
10.1002/chem.201405194, 10.1002chem.201405194
10.1002/chem.201405684, 10.1002chem.201405684
10.1002/chem.201406323, 10.1002chem.201406323
10.1002/chem.201500457, 10.1002chem.201500457
10.1002/chem.201500815, 10.1002chem.201500815
10.1002/chem.201501515, 10.1002chem.201501515
10.1002/chem.201501599, 10.1002chem.201501599
10.1002/chem.201502615, 10.1002chem.201502615
10.1002/chem.201502893, 10.1002chem.201502893
10.1002/chem.201503078, 10.1002chem.201503078
10.1002/chem.201503163, 10.1002chem.201503163
10.1002/chem.201705405, 10.1002chem.201705405
10.1002/cite.201000179, 10.1002cite.201000179
10.1002/cite.201300063, 10.1002cite.201300063
10.1002/cite.201300078, 10.1002cite.201300078
